session_id,student_emotion_before,student_first_dialogue
188,Self-Doubt,"Hi, I'm really struggling with this team project. I'm worried that I'm going to let everyone down. We're relying on me to finish this part, and I just don't know if I can do it. I feel like I'm not good enough."
254,Sadness,I feel like I'm always left out of social events at school. Nobody invites me to parties or hangs out with me during lunch. It makes me so sad and unwanted.
298,Anxiety,"Hi, I'm just really anxious about my career choices. I feel like I'm expected to have it all figured out, but I have no idea what I want to do. I'm worried that I'll make the wrong choice and regret it."
385,Overwhelm,"Hi, I'm feeling really overwhelmed. I'm on the school soccer team and I love it, but it's taking up so much of my time. I'm struggling to keep up with my schoolwork and I'm worried I'm going to fall behind. I don't want to give up soccer, but I don't know how to balance everything."
488,Guilt,"Hi, I'm really struggling with self-discipline. I always seem to put off my assignments until the last minute, and it's affecting my grades. I feel so guilty about it because I know I'm capable of doing better."
108,Sadness,"Hi, I'm feeling really down lately. I feel like I'm always being left out of social events and activities with my friends. It hurts to see them having fun without me on social media. I just wish I could be a part of their group."
492,Loneliness,"Hi, I'm just feeling really lost and alone right now. I don't know what I want to do with my life, and it seems like everyone around me has their life figured out. I feel like I'm just drifting through each day without any purpose."
220,Insecurity,"Hi, I'm just feeling really left out lately. Everyone seems to have their cliques and friend groups, and I'm just kind of... floating around. I feel like I don't fit in anywhere."
321,Overthinking,"Hi counselor, I'm really struggling with the desire to be financially independent. I feel like I'm stuck in a rut and can't seem to get ahead. I'm constantly worrying about my future and it's affecting my present. I just can't stop overthinking about it"
145,Worry,"Hi, I'm really worried about not getting a good job after graduation. I feel like I've worked so hard, but what if it's all for nothing?"
215,Self-Doubt,"Hi, I'm feeling really down about myself. I've applied to over 10 internships and job openings, and I haven't gotten even a single callback or interview. I'm starting to think I'm just not good enough."
308,Stress,"Hi, I'm just feeling really overwhelmed about my student loans. I'm not sure how I'm going to pay them off, and it's stressing me out so much. I feel like I'm drowning in debt."
206,Anxiety,"Hi, I'm really struggling with financial stress. I'm constantly worried about making ends meet, and it's affecting my performance in class. I feel like I'm drowning in debt and I don't know how to get out of it."
491,Frustration,"Hi, I'm really frustrated with myself. I just can't seem to get anything done on time. I procrastinate, I put things off, and then I'm left feeling overwhelmed and stressed out. I wish I could just be more disciplined and get things done."
195,Guilt,"I just can't shake off this feeling of guilt. I'm part of a group project, and I'm struggling to keep up with the others. I'm afraid of letting them down, and it's eating away at me."
374,Anxiety,"Hi, I'm really stressed about my upcoming exams. I feel like I'm not prepared at all and I'm worried that I'm going to fail. I've been having trouble sleeping and I just feel so anxious all the time."
210,Frustration,I'm just so frustrated with my financial situation. I'm struggling to make ends meet and it's affecting my studies. I don't know how I'm going to pay my tuition fees. I feel like I'm drowning in debt.
36,Overthinking,"Hey, I'm really struggling to set goals for myself. I feel like I'm constantly overthinking and second-guessing everything. I just can't seem to make a decision."
66,Frustration,"Hi, I'm just feeling really frustrated with my financial situation. I'm working part-time, but it's not enough to cover all my expenses. I feel like I'll never be able to pay off my student loans. It's just so overwhelming."
132,Guilt,"I'm so guilty about not being able to finish my assignments on time. I always put things off until the last minute, and it's like I'm stuck in this never-ending cycle of procrastination."
15,Disappointment,"Hi, I'm really disappointed in myself. I was supposed to be the star player on my team, and now I'm out for the season with an injury. I feel like I've let everyone down."
383,Nervousness,"Hi, I'm really nervous about an upcoming presentation in my class. I'm afraid I'll stumble over my words or forget what to say. Just thinking about it makes my heart race."
202,Shame,"I just got my exam results and I'm really disappointed in myself. I've been getting low grades all semester and I feel like a total failure. I'm ashamed to even talk about it. (looks down, avoiding eye contact)"
326,Resistance,I don't know why I'm here. I don't need help. I can handle my problems on my own.
469,Self-Doubt,"I'm really struggling with this project. I'm part of a team, and I'm worried that I'm going to mess up and let everyone down. I just feel so inadequate and unsure of myself."
63,Confusion,I just feel so lost and unsure of who I am or what I want to do with my life. I'm stuck in this limbo and it's really frustrating.
124,Uncertainty,"I'm really struggling with managing my money. I feel like I'm constantly worried about not having enough, and it's affecting my focus on school. I just don't know where to start or how to make it work."
24,Guilt,"I'm really struggling with managing my money. I feel like I'm constantly worried about not having enough, and it's affecting my focus on school. I just don't know where to start or how to make it work."
356,Worry,"Hi, I'm really worried about my financial situation. I'm struggling to pay my tuition fees and living expenses. I feel like I'm drowning in debt."
62,Self-Doubt,I feel so stuck. I'm always afraid to take risks and try new things. I'm worried that I'll fail or make a fool of myself. What if I'm not good enough?
427,Worry,"Hi, counselor. I'm really worried about everything lately. I overthink every little thing, and it's driving me crazy. I feel like I'm constantly on edge, waiting for the other shoe to drop. I just can't seem to shake this feeling of dread."
61,Self-Doubt,"Hi, I'm really struggling with my grades right now. I'm just not doing well in any of my classes and it's making me feel like I'm not cut out for college. I'm starting to wonder if I'm even smart enough to be here."
380,Overthinking,"Hi, I'm really struggling with taking risks. I overthink everything and it's holding me back from pursuing opportunities that could be great for me. I feel like I'm stuck in a rut."
256,Apathy,"Honestly, I just can't seem to care about my online classes. I mean, I'm just going through the motions, but I don't feel like I'm learning anything. It's all just so boring and disconnected."
68,Disappointment,I just got rejected from another internship. I'm so disappointed in myself. I feel like I'm not good enough.
314,Insecurity,"Hi, I just don't feel like I fit in with my peer group. Everyone seems to have their own cliques and friend circles, and I'm just on the outside looking in. It makes me feel so insecure and unwanted."
461,Overthinking,"Hi, I've been feeling really overwhelmed lately. I just want to be financially independent, but every time I think about it, I get caught up in all the what-ifs and maybes. I feel like I'm stuck in this endless cycle of overthinking."
347,Comparison,I just feel like I'm not skilled enough in my major. Everyone around me seems to know so much more than I do. I'm constantly comparing myself to them and feeling inadequate.
26,Isolation,"I just feel like I'm always on the outside looking in. I'm afraid to talk to people, participate in class, or even hang out with friends because I'm terrified of saying something stupid or being judged. It's like I'm stuck in this bubble of loneliness and I don't know how to break free."
149,Exhaustion,"I'm just so exhausted, physically and mentally. I feel like I've been studying non-stop for weeks, and I'm starting to lose motivation. I'm not retaining anything, and I'm constantly worried about not meeting my grades. I just feel like I'm drowning in schoolwork."
8,Frustration,"I'm so frustrated with myself. I always set goals and make plans, but I never seem to follow through. I lack self-discipline, and it's holding me back in every aspect of my life. I feel like I'm stuck in this vicious cycle, and I don't know how to break free."
363,Apathy,"Hey, I'm just feeling really unmotivated to train for my sport lately. I used to love it, but now it just feels like a chore. I don't know why I'm even bothering."
405,Frustration,"Hi, I'm just feeling really frustrated about my financial situation. I have a bunch of debt from student loans and I'm struggling to make ends meet. I feel like I'm never going to be able to pay it off."
54,Overthinking,"Hi, I'm really struggling with taking risks. I feel like I'm stuck in a rut and I'm not living up to my potential because I'm too scared to try new things. I spend hours overthinking every possible outcome, and it's exhausting. I just wish I could be more spontaneous and confident like my friends."
207,Uncertainty,"Hi, counselor. I'm really struggling with overthinking everything. I feel like I'm constantly second-guessing myself and it's really affecting my confidence. I just feel so uncertain about everything."
165,Self-Doubt,"Hi, I'm really struggling with public speaking. I get nervous, my voice shakes, and I just freeze up. I'm worried that I'll never be able to get over this fear."
472,Overthinking,"I'm so stuck. I just can't seem to set any goals for myself. I know I need to, but every time I try, I get caught up in thinking about all the what-ifs and maybes, and before I know it, hours have passed and I've gotten nowhere."
286,Guilt,"Hi, I'm really struggling with managing my money. I feel so guilty about all the mistakes I've made and the debt I've accumulated. I just feel like I'm not good at adulting."
153,Regret,"I'm just so frustrated and regretful about all these rejections I've been getting. I've applied to like 10 internships and jobs, and not a single one has worked out. It feels like I'm not good enough."
37,Self-Doubt,"Hi, I'm really struggling with this feeling that I don't belong here. I feel like I'm just pretending to be a smart student, and everyone's going to find out that I'm fake. I'm so scared that I'm not good enough."
408,Nervousness,"Hi, I'm really nervous about an upcoming presentation in my class. I'm afraid of speaking in front of everyone and I'm worried that I'll mess up."
311,Overwhelm,"I'm just really overwhelmed with exams coming up. I feel like I'm not prepared at all, and I'm afraid I'm going to fail. I've been staying up late studying, but I still don't feel like I'm getting anything. I just feel so stuck."
450,Insecurity,"Hi, I'm just really struggling with feeling like I'm not good enough. No matter how hard I try, I always feel like I'm failing. I'm just so insecure about everything."
382,Pressure,"Hey, I'm feeling really pressured lately. I'm 20 and still living with my parents. I want to be financially independent, but I don't know how to make it happen. I feel like I'm stuck and I'm not doing enough."
485,Frustration,"I'm so frustrated with myself. I always know what I need to do, but I just can't seem to get started. I put things off until the last minute, and then I'm up all night stressing out. I feel like I'm stuck in this cycle and I don't know how to get out."
128,Overthinking,"Hi counselor, I'm feeling really anxious about my financial situation. I'm 20 and still dependent on my parents. I want to be financially independent, but every time I think about it, I start overthinking and feeling overwhelmed. I don't know where to start or how to make it happen."
287,Discouragement,"Hi, counselor. I'm just feeling really discouraged about my training lately. I used to be so motivated and excited to improve, but now I just feel like I'm going through the motions. I don't know why I'm even bothering."
118,Isolation,"I don't know, it feels like my friends are all against me. We used to be so close, but now it feels like they're all ganging up on me. I just want to avoid them altogether."
160,Comparison,"Hi, I'm really struggling with this feeling that I don't belong here. I look around and see all these talented people, and I just feel like I'm pretending to be something I'm not. I'm so afraid that someone is going to figure out that I'm not as smart as they think I am."
137,Nervousness,"Hi, I'm really nervous about an upcoming presentation in class. I'm afraid of speaking in front of everyone and I just can't seem to shake off this feeling. Even thinking about it now is making me anxious."
57,Self-Doubt,"Hi, I'm really struggling in my classes. I just can't seem to understand the material no matter how hard I try. I feel like I'm the only one who doesn't get it. It's making me doubt myself and my abilities."
156,Pressure,"Hi, I'm really struggling with exam stress right now. I feel like I'm under so much pressure to perform well, and it's affecting my sleep, my appetite, everything. I just can't seem to shake it off."
394,Guilt,"Hi, I've been struggling with procrastination lately. I always put off my assignments until the last minute, and it's been causing me a lot of stress. I feel so guilty about it, like I'm not living up to my potential."
174,Shame,"I just feel so stupid sometimes. I'm not good at anything, and I always make mistakes. I just wish I could be more confident like my friends."
426,Anxiety,"Hi, I'm feeling really anxious about the upcoming competitions. I feel like I have to win or else I'll let everyone down. My parents, my coaches, even my teammates are all counting on me. It's like, I'm the only one who can bring home the trophy."
67,Stress,"Honestly, I'm really stressed about my future. I'm not sure if I'll be able to get a good job after I graduate. I feel like everyone around me seems to have their lives figured out, and I'm just stuck."
417,Stress,"Hi, I'm really stressed out about my student loans. I feel like I'm drowning in debt and I don't know how I'm going to pay them off. It's affecting my sleep, my relationships, everything."
231,Isolation,"Hi, I'm really struggling with online learning. I feel so isolated all the time. I'm stuck at home, staring at a screen, and it feels like I'm missing out on so much. I'm just not motivated to do anything."
387,Exhaustion,"Hey, I'm just feeling so exhausted all the time. I'm trying to balance school, work, and a social life, but it feels like I'm constantly running on empty. I'm always tired, and I just can't seem to catch up."
333,Guilt,"Hi, I just feel so guilty all the time. My parents are always on my case about my grades, my major, my career path... everything. I feel like I'm never good enough for them."
140,Comparison,"Hi, I'm feeling really overwhelmed and anxious about my studies. I just can't shake off the feeling that I don't belong here, that I'm just pretending to be something I'm not. Everyone else seems so confident and capable, while I'm struggling to keep up."
435,Shame,"Hi, I'm so sorry to be here. I feel like I'm weak for needing help. I've been struggling in my classes and I just can't seem to get my grades up no matter how hard I try. I feel like I'm a failure."
495,Resentment,"I'm so frustrated with my friends right now. They always do things without considering my feelings, and it feels like they don't care about me at all. I'm getting really resentful towards them."
2,Uncertainty,"Hi, I'm really struggling with managing my money. I just moved out of my parents' house and I'm not sure how to budget, and it's causing me so much stress. I feel like I'm always living paycheck to paycheck."
273,Confusion,"Hi, I'm really struggling to understand my subjects, especially math and science. I feel like I'm just not getting it, and it's making me feel so confused and frustrated."
80,Frustration,"Honestly, I'm really frustrated with myself. I just can't seem to stick to my goals or habits. I set out to do something, and a few days later, I'm right back to my old ways. I feel like I have no self-discipline whatsoever."
85,Stress,"Hi, I'm feeling really overwhelmed. I just can't seem to stop overthinking everything. Every little thing that happens, I'm like, ""What if this happens?"" or ""What if that happens?"" It's exhausting. I just feel so stressed out all the time."
175,Self-Doubt,"Hi, counselor. I'm really struggling with public speaking. Every time I have to present in class or give a speech, I get super nervous and my mind goes blank. I just feel like I'm not cut out for it."
312,Frustration,"Hi, I'm just so frustrated. I haven't been sleeping well for weeks, and it's affecting my grades, my mood, everything. I feel like I've tried everything, but nothing seems to be working."
10,Discouragement,"Hi, I'm feeling really discouraged about my future. I'm graduating soon, and I'm worried that I won't be able to get a good job. I've been applying to places, but I haven't gotten any responses yet. I'm starting to think that I'm not good enough or that I didn't choose the right major."
150,Disappointment,"Hi, I'm really struggling right now. I've applied to so many internships and jobs, but I keep getting rejected. I feel like I'm just not good enough."
161,Disappointment,"Hi, counselor. I'm really disappointed in myself. I just got my grades back, and they're terrible. I don't understand why I'm not doing better. I study hard, but it just doesn't seem to be paying off."
307,Regret,"I just got rejected from another internship. I've applied to like 10 and haven't gotten a single offer. I feel like such a failure. I regret not starting to apply earlier, not tailoring my resume more, not networking more... the list goes on."
362,Self-Doubt,"I just can't shake off this feeling of fear that I'm going to fail my exams. I've been studying hard, but what if it's not enough? What if I'm just not good enough?"
466,Guilt,I feel so guilty about coming to see you. I should be able to handle my problems on my own. I don't know why I need help.
5,Stress,"Hi, I'm really struggling to balance my sports commitments and academics. I feel like I'm constantly running from one to the other and not doing either one justice. I'm so stressed out about it."
213,Uncertainty,"Hi, I'm really struggling to set goals for myself. I feel like I'm just drifting through life without any direction. I'm uncertain about what I want to achieve or how to even start setting goals in the first place."
50,Self-Doubt,I'm really struggling with this group project. I'm afraid I'm going to let everyone down. What if I don't do my part right? What if I mess up and the whole project fails?
375,Regret,I feel so regretful about not getting any internships or jobs. I applied to so many places and got rejected from all of them. I feel like I'm not good enough and that I'll never get hired.
166,Stress,"Hi, I just feel so overwhelmed with school. I'm constantly studying, but I still don't feel like I'm doing well enough. I'm exhausted, both physically and mentally. I just feel like I'm burning out."
460,Overwhelm,"Hi, I'm feeling really overwhelmed about my finances. I just got my student loan disbursement and I have no idea how to manage it. I'm scared I'll spend it all on unnecessary things."
337,Stress,"Hi, I'm really struggling to balance my sports and academics. I feel like I'm constantly running from one thing to another and not doing well in either area. I'm so stressed out about it."
44,Discouragement,"Hi, I'm just really struggling with this fear of failure right now. I'm trying to get into this competitive program, but what if I don't make it? What if I'm not good enough?"
78,Overthinking,"Hi, I'm really struggling to set goals for myself. I feel like I'm constantly overthinking everything, and it's paralyzing me. I don't know what I want or what I'm working towards."
247,Isolation,"Hi, counselor. I'm really struggling with online learning. I feel so isolated and alone all the time. I don't get to interact with my classmates or professors in person, and it's really taking a toll on my mental health. Sometimes I feel like I'm just staring at a screen all day, talking to no one."
259,Worry,"Hi, I'm just really struggling with overthinking everything lately. I feel like I'm constantly worried about the smallest things, and it's exhausting me."
110,Isolation,"Hi, I'm really struggling with online learning. I feel so isolated and disconnected from everyone. I'm worried I'm falling behind and it's affecting my motivation."
167,Worry,"Hi, I'm really worried about my financial situation. I feel like I'm always depending on my parents for everything, and I want to be financially independent. I just don't know how to make it happen."
458,Regret,"I just can't believe I got rejected from yet another internship. I feel like I'm not good enough. I've been applying to all these opportunities, but no one wants me. I've been regretting not taking that one job offer I got last semester. What if I'm just not cut out for this?"
233,Overwhelm,"I'm just so overwhelmed with school right now. I feel like I'm drowning in assignments and exams. I'm barely sleeping, and when I do, I have nightmares about not meeting deadlines. I just don't know how to keep going."
144,Disappointment,"I don't know how to deal with this. I was so close to getting a scholarship, and now my sports career is over because of this stupid injury. I feel like all my hard work was for nothing."
7,Insecurity,"Hi, I feel like I don't belong here. I'm just pretending to be a student, but I'm really not smart enough. Everyone else seems to know what they're doing, and I'm just winging it. I'm so insecure about my abilities."
335,Stress,"Hi, I'm feeling really stressed out lately. My parents have always been super invested in my academic success, and it's getting to the point where I feel like I'm only doing things to please them. I'm not even sure what I want to major in anymore because everything I choose, they have an opinion on. It's like they're living vicariously through me."
106,Overwhelm,"Hi, I'm just feeling really overwhelmed. I feel like my family is expecting me to be perfect and it's just too much pressure. I'm trying to please everyone, but I feel like I'm losing myself in the process."
261,Self-Doubt,"Hi, I'm really struggling in school right now. I just don't get it, no matter how hard I try. I feel like I'm the only one who doesn't understand anything, and it's making me feel so stupid."
498,Comparison,"Hi, I'm just feeling really overwhelmed and like I don't belong here. I look around at my classmates and they all seem so put together, like they have their lives figured out. Meanwhile, I'm just trying to keep up. I feel like I'm just pretending to be something I'm not."
225,Loneliness,"I feel so lonely all the time. My boyfriend and I have been in a long-distance relationship for months now, and it's taking a toll on me. We barely get to talk, and when we do, it's always rushed or superficial. I feel like I'm missing out on so much by not being physically close to him."
346,Overthinking,"Hi, I've been feeling really overwhelmed lately. I just want to be financially independent, but it feels like it's taking forever. I'm constantly thinking about how I'll make ends meet, and it's affecting my schoolwork and relationships. I just can't stop thinking about it."
103,Uncertainty,"I just feel so lost, like I'm wandering through life without a sense of direction. I don't know what I want to do, who I am, or where I'm going. It's scary."
60,Self-Doubt,"Hi, I'm really struggling with self-discipline. I know I need to get my work done, but I just can't seem to motivate myself. I feel like I'm lazy and that I'll never be able to achieve my goals. I'm so frustrated with myself."
391,Loneliness,"I just feel so lost, like I'm wandering through life without a sense of direction. I don't know who I am or what I want to be. It's like I'm just going through the motions. I feel so alone in this feeling."
370,Overwhelm,"I just feel so overwhelmed, like I'm drowning in assignments and studying. I don't know how much more of this I can take. I'm exhausted, both physically and mentally."
18,Insecurity,"I just feel so insecure about myself. I don't think I'm good enough, smart enough, or capable enough. I always compare myself to others and come up short."
489,Pressure,"I'm feeling so overwhelmed and pressured to win every competition I enter. It's like, if I don't come out on top, I'm a complete failure. My parents and coaches are always pushing me to be the best, and it's taking a toll on my mental health."
359,Exhaustion,"Hi, I'm just so exhausted all the time. I haven't been sleeping well for weeks, and it's affecting my grades and relationships. I feel like I'm walking through a fog every day."
87,Anxiety,"Hi, I'm really nervous about this session. I'm terrified of public speaking. I have to give a presentation in a week and I'm already having anxiety attacks just thinking about it."
451,Confusion,"Hey, I'm just feeling really lost lately. I don't know what I want to do with my life, and it's like I'm just going through the motions. I feel so confused about who I am and what I'm supposed to be doing."
454,Self-Doubt,"Hi, I'm really struggling with choosing a career path. I feel like all my friends know what they want to do, but I have no idea. It's making me feel really unsure of myself and I'm starting to doubt my abilities."
368,Worry,"Hi, I'm really worried about my financial situation. I'm struggling to pay my tuition and living expenses, and I don't know how I'm going to make ends meet. I feel like I'm drowning in debt."
91,Disappointment,"I'm really disappointed in myself. I just got my grades back, and they're really low. I don't know what's going on. I study hard, but it seems like no matter what I do, I just can't get my grades up."
274,Stress,"Hi, I'm really struggling with online learning. I feel so overwhelmed with the amount of coursework and assignments I need to complete. I'm constantly feeling stressed and anxious about not meeting deadlines."
236,Stress,"Hi, I'm feeling really overwhelmed with my student loans. I'm not sure how I'm going to pay them off and it's stressing me out. I feel like I'm drowning in debt."
59,Pressure,"I'm so stressed out about my upcoming exams. I feel like I'm not prepared at all and I'm going to fail. I've been studying for hours every day, but I just can't seem to retain anything. I'm so worried that I'm going to disappoint my parents and myself."
53,Exhaustion,"Hi, I'm feeling so exhausted all the time. I just can't keep up with my studies anymore. I'm constantly stuck in a cycle of exams, projects, and assignments. I feel like I'm burning out."
94,Doubt,"Hi, counselor. I'm really struggling with setting goals for myself. I feel like I don't know what I want to achieve, and it's making me doubt my entire future."
438,Uncertainty,"I just feel so lost, like I'm just going through the motions of college without any direction or purpose. I'm taking these classes, but I'm not even sure if I want to pursue this major anymore. It's like, who am I even supposed to be?"
43,Burnout,"Hi, I just feel so burnt out from my training. I used to be so passionate about it, but lately, I just can't seem to find the energy to do anything. I feel like I'm just going through the motions."
72,Self-Doubt,I just feel like I'm not good enough. I'm constantly comparing myself to others and feeling like I don't measure up. I'm struggling to even get out of bed in the morning because I feel so worthless.
345,Discouragement,"Hi, counselor. I'm just feeling really discouraged about my upcoming exams. I've been studying hard, but I'm still worried I'm going to fail. What if I don't make the grades I need? What if I disappoint my parents?"
487,Sadness,"I just feel so sad and lost after my breakup. We were together for three years, and I thought we were fine. But I guess I was wrong. I don't know how to move on from this."
